driverId,lap,stop,time,duration
hamilton,11,1,['time'],['duration']
alonso,11,1,['time'],['duration']
mick_schumacher,12,1,['time'],['duration']
albon,13,1,['time'],['duration']
max_verstappen,14,1,['time'],['duration']
sainz,14,1,['time'],['duration']
kevin_magnussen,14,1,['time'],['duration']
gasly,14,1,['time'],['duration']
ocon,14,1,['time'],['duration']
bottas,14,1,['time'],['duration']
latifi,14,1,['time'],['duration']
leclerc,15,1,['time'],['duration']
perez,15,1,['time'],['duration']
russell,15,1,['time'],['duration']
tsunoda,15,1,['time'],['duration']
zhou,15,1,['time'],['duration']
ricciardo,17,1,['time'],['duration']
stroll,18,1,['time'],['duration']
hulkenberg,19,1,['time'],['duration']
norris,24,1,['time'],['duration']
alonso,25,2,['time'],['duration']
hamilton,27,2,['time'],['duration']
tsunoda,29,2,['time'],['duration']
max_verstappen,30,2,['time'],['duration']
ocon,30,2,['time'],['duration']
leclerc,31,2,['time'],['duration']
gasly,32,2,['time'],['duration']
latifi,32,2,['time'],['duration']
sainz,33,2,['time'],['duration']
perez,33,2,['time'],['duration']
