driverId,constructorId,number,position
senna,williams,2,1
michael_schumacher,benetton,5,2
alesi,ferrari,27,3
damon_hill,williams,0,4
frentzen,sauber,30,5
morbidelli,footwork,10,6
wendlinger,sauber,29,7
hakkinen,mclaren,7,8
verstappen,benetton,6,9
katayama,tyrrell,3,10
fittipaldi,footwork,9,11
blundell,tyrrell,4,12
comas,larrousse,20,13
barrichello,jordan,14,14
martini,minardi,23,15
irvine,jordan,15,16
berger,ferrari,28,17
brundle,mclaren,8,18
panis,ligier,26,19
bernard,ligier,25,20
herbert,team_lotus,12,21
alboreto,minardi,24,22
beretta,larrousse,19,23
lamy,team_lotus,11,24
gachot,pacific,34,25
brabham,simtek,31,26
