driverId,constructorId,number,position,positionText,points
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
bottas,mercedes,77,3,3,1
leclerc,ferrari,16,4,4,0
norris,mclaren,4,5,5,0
ricciardo,mclaren,3,6,6,0
alonso,alpine,14,7,7,0
vettel,aston_martin,5,8,8,0
russell,williams,63,9,9,0
ocon,alpine,31,10,10,0
sainz,ferrari,55,11,11,0
gasly,alphatauri,10,12,12,0
raikkonen,alfa,7,13,13,0
stroll,aston_martin,18,14,14,0
giovinazzi,alfa,99,15,15,0
tsunoda,alphatauri,22,16,16,0
latifi,williams,6,17,17,0
mick_schumacher,haas,47,18,18,0
mazepin,haas,9,19,19,0
perez,red_bull,11,20,R,0
max_verstappen,red_bull,33,1,1,3
hamilton,mercedes,44,2,2,2
